N	4.6160206795	1.9440917969	8.6382799149
n	4.6447510719	1.5610195398	8.6287031174
a	4.587290287	1.5801731348	8.4467439651
e	5.2193598747	0.9097966552	8.1307086945
m	4.7979803085	1.4269442558	8.5137815475
i	-0.9002198577	5.0086698532	8.4754743576
w	0.2202665508	4.8362874985	8.7627782822
i	-1.2928689718	5.1906294823	8.3892831802
k	-0.7374141216	5.0852842331	8.7053174973
k	-0.6799532771	5.0374002457	8.6765871048
I	5.2002062798	0.8619126081	8.1307086945
a	5.4396262169	0.3926490843	8.7053174973
m	5.1044378281	0.7182605267	7.9200191498
f	5.5449709892	-1.3120225668	8.6191263199
i	5.3055510521	0.5650315881	7.7093296051
n	5.5258173943	0.517147541	8.0253639221
e	5.8801593781	0.0861912593	8.4084367752
A	4.6447510719	0.1244984865	9.3756942749
n	5.1810526848	1.1300631762	8.3222446442
g	6.0525417328	2.3463177681	7.546523571
e	5.8514289856	0.1340752989	6.7324953079
l	5.363011837	0.4405331016	8.54251194
a	5.1618990898	0.6416460276	8.5903959274
,	4.9607858658	0.0191536136	8.6287031174
T	6.0238113403	2.403778553	7.4603323936
t	5.7652378082	1.8579005003	6.9048776627
h	5.4300494194	2.0207061768	8.0253639221
a	5.382165432	0.6607996821	8.9926214218
n	5.0852842331	1.2928689718	8.2839374542
k	4.9224786758	0.9481038451	8.3222446442
s	4.8554410934	0.0766144544	9.3565406799
.	4.7309427261	0.7182605267	8.7244710922
H	5.0757074356	1.5131354332	8.4563207626
O	4.5585598946	0.1628057212	8.9255838394
P	4.3095631599	0.0574608408	8.9926214218
E	4.6447510719	-0.4884171486	8.5137815475
o	4.9033250809	1.0151414871	8.7244710922
p	4.5585598946	0.1628057212	8.7148942947
e	4.826710701	-0.2585737705	8.5903959274
y	5.8226985931	2.3271639347	7.6518688202
o	5.0182466507	0.4309563041	9.0596590042
u	5.2193598747	1.6376339197	8.1785926819
h	5.4108958244	1.8674772978	8.082824707
a	5.2768206596	1.2545616627	8.3988599777
d	4.8650178909	0.0478840321	8.7244710922
a	5.0852842331	1.2258312702	8.1594390869
g	5.5641245842	2.6336219311	7.4220252037
o	4.7405195236	0.8619126081	8.839392662
o	4.6926355362	0.9672574997	8.7723550797
d	4.8841714859	-0.3734954596	9.0500822067
w	5.1140146255	0.5841852427	8.5042047501
e	5.2672438622	-0.0766144544	9.2607717514
e	5.1906294823	-0.0766144544	9.193734169
k	4.7979803085	0.5363011956	8.3701295853
e	4.9895162582	-0.4501099288	9.4427318573
n	4.8554410934	1.2737152576	8.1690158844
d	4.9033250809	0.4884171486	8.3126678467
.	4.6926355362	1.0342950821	8.0732479095
I	5.0278234482	1.1587935686	8.3413991928
H	5.5545477867	2.0781669617	7.9391727448
i	5.123591423	1.5801731348	8.4371671677
O	4.9416322708	1.0821791887	8.2839374542
